ts, sip, dip, sport, dport, proto, dura, orig_pks, reply_pks, orig_bytes, reply_bytes, orig_min_pkt_size, orig_max_pkt_size, reply_min_pkt_size, reply_max_pkt_size, orig_min_interval, orig_max_interval, reply_min_interval, reply_max_interval, orig_min_ttl, orig_max_ttl, reply_min_ttl, reply_max_ttl, urg, ack, psh, rst, syn, fin, is_new, state, prev_state
626209, 1.1.131.181, 1.1.2.141, 20480,32804, 6,16, 228946,219832,11905192,43966400, 52,52,200,200, 1,50342,1,50404, 32,32,32,32, 0,448778,219832,0,0,0, 1,3,3
626209, 1.1.0.179, 1.1.128.211, 56472,20480, 6,14, 146649,172469,29329216,8968388, 52,200,52,52, 1,49871,1,49709, 32,32,32,32, 0,319116,146645,0,2,0, 1,3,3
626209, 1.1.0.160, 1.1.130.211, 64196,20480, 6,16, 209330,223053,41866000,11598756, 200,200,52,52, 1,63932,1,63972, 32,32,32,32, 0,432383,209330,0,0,0, 1,3,3
626209, 1.1.3.78, 1.1.130.87, 30636,13568, 17,10, 2,0,120,0, 60,60,0,0, 1,1,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626209, 1.1.1.68, 1.1.130.40, 35854,20480, 6,16, 205350,225922,41070000,11747944, 200,200,52,52, 1,42746,1,42827, 32,32,32,32, 0,431272,205350,0,0,0, 1,3,3
626209, 1.1.1.189, 1.1.128.43, 43634,20480, 6,11, 10,9,528,8468, 52,56,52,1500, 1,209,3,75, 32,32,32,32, 0,17,4,0,2,2, 1,6,4
626209, 1.1.0.126, 1.1.129.30, 43310,13568, 17,13, 2,0,116,0, 58,58,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626209, 1.1.1.92, 1.1.129.46, 21918,20480, 6,16, 231197,224962,46239400,11698024, 200,200,52,52, 1,49426,1,49960, 32,32,32,32, 0,456159,231197,0,0,0, 1,3,3
626209, 1.1.3.39, 1.1.129.155, 2806,13568, 17,13, 2,2,122,154, 61,61,77,77, 1,1,1,1, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
626209, 1.1.129.187, 1.1.0.126, 20480,41972, 6,13, 193250,176776,10049008,35355200, 52,56,200,200, 1,50140,1,50603, 32,32,32,32, 0,370026,176776,0,2,0, 1,3,3
626209, 1.1.129.243, 1.1.2.57, 20480,37798, 6,8, 15,8,10810,1358, 52,1500,52,328, 9,157,2,96, 32,32,32,32, 0,23,8,0,2,2, 1,6,4
626209, 1.1.2.169, 1.1.128.238, 49495,20480, 6,15, 156094,163180,31218512,8485360, 56,200,52,52, 1,50126,1,49684, 32,32,32,32, 0,319272,156092,0,2,0, 1,3,3
626209, 1.1.3.82, 1.1.131.46, 30612,20480, 6,16, 242848,258252,48569600,13429104, 200,200,52,52, 1,43541,1,43559, 32,32,32,32, 0,501100,242848,0,0,0, 1,3,3
626209, 1.1.129.207, 1.1.1.227, 13568,40915, 17,16, 2,0,154,0, 77,77,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626209, 1.1.128.237, 1.1.2.104, 20480,3068, 6,11, 5,0,1716,0, 52,1500,0,0, 1,209,0,0, 32,32,0,0, 0,5,1,0,2,0, 1,3,3
626209, 1.1.3.148, 1.1.130.4, 52367,20480, 6,6, 6,4,320,6000, 52,56,1500,1500, 3,350,9,12, 32,32,32,32, 0,8,2,0,2,2, 1,6,4
626209, 1.1.1.227, 1.1.131.218, 59672,20480, 6,16, 200666,218629,40132904,11368708, 52,200,52,52, 1,63995,1,63990, 32,32,32,32, 0,419295,200664,0,0,0, 1,3,3
626209, 1.1.129.79, 1.1.3.190, 20480,50828, 6,16, 252625,225615,13136500,45123000, 52,52,200,200, 1,57339,1,57595, 32,32,32,32, 0,478240,225615,0,0,0, 1,3,3
626209, 1.1.0.179, 1.1.129.180, 47884,13568, 17,14, 1,2,61,154, 61,61,77,77, 0,0,0,0, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
626209, 1.1.3.96, 1.1.129.60, 975,20480, 6,12, 126228,134419,25245600,6989788, 200,200,52,52, 1,50455,1,49689, 32,32,32,32, 0,260647,126228,0,0,0, 1,3,3
626209, 1.1.3.57, 1.1.129.238, 49973,20480, 6,15, 158811,169581,31761616,8818212, 52,200,52,52, 1,56652,1,56752, 32,32,32,32, 0,328390,158807,0,2,0, 1,3,3
626209, 1.1.3.78, 1.1.128.229, 54068,20480, 6,10, 8,9,818,8472, 52,249,52,1500, 1,133,2,95, 32,32,32,32, 0,15,4,0,2,0, 1,3,3
626209, 1.1.1.81, 1.1.129.122, 8181,20480, 6,7, 10,10,922,9102, 52,249,52,1500, 3,202,3,216, 32,32,32,32, 0,18,4,0,4,2, 1,6,4
626209, 1.1.131.67, 1.1.1.230, 20480,49323, 6,10, 112684,96363,5859576,19272600, 52,56,200,200, 1,43949,1,43777, 32,32,32,32, 0,209047,96363,0,2,0, 1,3,3
626209, 1.1.131.15, 1.1.3.57, 13568,47280, 17,15, 2,0,154,0, 77,77,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626209, 1.1.129.2, 1.1.2.200, 20480,58156, 6,16, 269405,250916,14009060,50183200, 52,52,200,200, 1,50187,1,50270, 32,32,32,32, 0,520321,250916,0,0,0, 1,3,3
626209, 1.1.131.162, 1.1.0.215, 20480,6479, 6,4, 8,2,4086,104, 52,1500,52,52, 2,150,0,0, 32,32,32,32, 0,10,2,0,2,2, 1,6,4
626209, 1.1.128.64, 1.1.1.36, 20480,34680, 6,4, 6,4,6104,208, 52,1500,52,52, 1,65,131,131, 32,32,32,32, 0,10,2,0,0,4, 1,6,4
626209, 1.1.3.96, 1.1.128.130, 18028,13568, 17,12, 2,2,122,154, 61,61,77,77, 0,0,0,0, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
626209, 1.1.3.39, 1.1.131.169, 65378,20480, 6,13, 130144,141064,26028504,7335328, 52,200,52,52, 1,63963,1,64125, 32,32,32,32, 0,271208,130142,0,0,0, 1,3,3
626209, 1.1.129.32, 1.1.3.121, 20480,21881, 6,14, 170618,154516,8872136,30903200, 52,52,200,200, 1,42776,1,43064, 32,32,32,32, 0,325134,154516,0,0,0, 1,3,3
626209, 1.1.3.214, 1.1.128.60, 10680,20480, 6,16, 211826,223594,42365200,11626888, 200,200,52,52, 1,50898,1,50571, 32,32,32,32, 0,435420,211826,0,0,0, 1,3,3
626209, 1.1.3.78, 1.1.130.112, 1414,20480, 6,10, 72171,83083,14434200,4320316, 200,200,52,52, 1,43509,1,43656, 32,32,32,32, 0,155254,72171,0,0,0, 1,3,3
626209, 1.1.1.225, 1.1.131.59, 33456,20480, 6,6, 9,3,472,1612, 52,56,56,1500, 1,151,243,243, 32,32,32,32, 0,11,0,0,3,2, 1,6,4
626209, 1.1.1.10, 1.1.129.201, 43236,20480, 6,16, 239110,263694,47822000,13712088, 200,200,52,52, 1,57368,1,57653, 32,32,32,32, 0,502804,239110,0,0,0, 1,3,3
626209, 1.1.2.70, 1.1.131.34, 45546,20480, 6,9, 4,7,598,4708, 52,247,52,1500, 1,133,1,141, 32,32,32,32, 0,11,2,0,0,2, 1,6,4
626209, 1.1.1.230, 1.1.129.190, 41918,20480, 6,10, 6,5,312,7386, 52,52,1443,1500, 156,160,9,56, 32,32,32,32, 0,11,2,0,0,2, 1,6,4
626209, 1.1.128.67, 1.1.1.73, 20480,11564, 6,12, 120766,112244,6279840,22448800, 52,56,200,200, 1,43829,1,43580, 32,32,32,32, 0,233010,112244,0,2,0, 1,3,3
626209, 1.1.1.94, 1.1.128.95, 15404,20480, 6,16, 197558,233562,39511600,12145224, 200,200,52,52, 1,50267,1,50323, 32,32,32,32, 0,431120,197558,0,0,0, 1,3,3
626209, 1.1.2.80, 1.1.129.118, 24635,20480, 6,8, 4,9,216,7716, 52,56,52,1500, 3,418,1,109, 32,32,32,32, 0,11,2,0,4,2, 1,6,4
626219, 1.1.128.159, 1.1.2.16, 13568,3714, 17,16, 2,0,154,0, 77,77,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.3.216, 1.1.129.115, 8507,20480, 6,26, 71011,77739,14202200,4042428, 200,200,52,52, 1,43987,1,43759, 32,32,32,32, 0,148750,71011,0,0,0, 0,3,3
626219, 1.1.3.204, 1.1.131.92, 29483,20480, 6,11, 67755,72019,13551000,3744988, 200,200,52,52, 1,44034,1,45540, 32,32,32,32, 0,139774,67755,0,0,0, 1,3,3
626219, 1.1.130.252, 1.1.3.57, 20480,14128, 6,25, 0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,0,0,0,0, 0,3,3
626219, 1.1.130.81, 1.1.2.70, 13568,38541, 17,19, 2,0,148,0, 74,74,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.0.105, 1.1.131.141, 48920,20480, 6,13, 8,5,982,4604, 52,331,52,1500, 1,170,1,173, 32,32,32,32, 0,11,3,0,2,0, 1,3,3
626219, 1.1.0.235, 1.1.128.22, 59713,20480, 6,4, 6,5,320,4604, 52,56,52,1500, 206,386,9,184, 32,32,32,32, 0,9,0,0,2,2, 1,6,4
626219, 1.1.0.106, 1.1.131.213, 32800,20480, 6,26, 30501,33374,6100200,1735448, 200,200,52,52, 1,44446,1,43953, 32,32,32,32, 0,63875,30501,0,0,0, 0,3,3
626219, 1.1.2.131, 1.1.131.18, 28650,20480, 6,26, 43278,46216,8655600,2403232, 200,200,52,52, 1,43746,1,44037, 32,32,32,32, 0,89494,43278,0,0,0, 0,3,3
626219, 1.1.2.104, 1.1.130.171, 40425,20480, 6,21, 76042,79254,15208400,4121208, 200,200,52,52, 1,52509,1,52938, 32,32,32,32, 0,155296,76042,0,0,0, 0,3,3
626219, 1.1.3.51, 1.1.129.232, 65413,20480, 6,6, 12,3,1578,4500, 52,329,1500,1500, 1,257,9,86, 32,32,32,32, 0,13,4,0,2,2, 1,6,4
626219, 1.1.2.14, 1.1.131.195, 46104,20480, 6,5, 8,5,416,7500, 52,52,1500,1500, 1,106,9,101, 32,32,32,32, 0,13,3,0,0,2, 1,6,4
626219, 1.1.129.142, 1.1.1.189, 20480,52427, 6,21, 72482,66664,3769064,13332800, 52,52,200,200, 1,52478,1,52739, 32,32,32,32, 0,139146,66664,0,0,0, 0,3,3
626219, 1.1.3.12, 1.1.130.142, 56313,20480, 6,26, 79641,79550,15928200,4136600, 200,200,52,52, 1,52844,1,52011, 32,32,32,32, 0,159191,79641,0,0,0, 0,3,3
626219, 1.1.128.47, 1.1.0.158, 13568,65453, 17,12, 2,0,154,0, 77,77,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.131.181, 1.1.2.141, 20480,32804, 6,26, 47537,44806,2471924,8961200, 52,52,200,200, 1,52279,1,52541, 32,32,32,32, 0,92343,44806,0,0,0, 0,3,3
626219, 1.1.0.179, 1.1.128.211, 56472,20480, 6,24, 58943,61569,11788600,3201588, 200,200,52,52, 1,42332,1,42406, 32,32,32,32, 0,120512,58943,0,0,0, 0,3,3
626219, 1.1.0.160, 1.1.130.211, 64196,20480, 6,26, 46371,50513,9274200,2626676, 200,200,52,52, 1,48785,1,49682, 32,32,32,32, 0,96884,46371,0,0,0, 0,3,3
626219, 1.1.0.37, 1.1.129.193, 966,20480, 6,13, 42688,46189,8537304,2401828, 52,200,52,52, 1,44384,1,44800, 32,32,32,32, 0,88877,42686,0,0,0, 1,3,3
626219, 1.1.3.127, 1.1.128.221, 426,20480, 6,14, 8,7,810,10500, 52,249,1500,1500, 1,76,9,62, 32,32,32,32, 0,15,4,0,0,0, 1,3,3
626219, 1.1.3.224, 1.1.129.31, 9677,20480, 6,11, 35285,38893,7056416,2022444, 52,200,52,56, 1,43844,1,44955, 32,32,32,32, 0,74176,35281,0,4,0, 1,3,3
626219, 1.1.130.43, 1.1.2.57, 13568,25275, 17,18, 2,0,148,0, 74,74,0,0, 1,1,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.2.53, 1.1.128.115, 40316,20480, 6,11, 37830,40982,7565704,2131064, 52,200,52,52, 1,48647,1,48757, 32,32,32,32, 0,78812,37828,0,0,0, 1,3,3
626219, 1.1.1.68, 1.1.130.40, 35854,20480, 6,26, 44812,47399,8962400,2464748, 200,200,52,52, 1,44219,1,44683, 32,32,32,32, 0,92211,44812,0,0,0, 0,3,3
626219, 1.1.2.148, 1.1.131.100, 29479,20480, 6,10, 48035,52803,9606712,2745764, 56,200,52,56, 1,44480,1,44029, 32,32,32,32, 0,100836,48033,0,4,0, 1,3,3
626219, 1.1.0.105, 1.1.129.168, 59677,20480, 6,13, 49352,56722,9870112,2949544, 56,200,52,52, 1,44901,1,44296, 32,32,32,32, 0,106072,49350,0,2,0, 1,3,3
626219, 1.1.2.80, 1.1.131.35, 40588,20480, 6,18, 77950,85298,15589704,4435496, 52,200,52,52, 1,50357,1,50133, 32,32,32,32, 0,163248,77948,0,0,0, 1,3,3
626219, 1.1.128.21, 1.1.3.90, 20480,59959, 6,15, 9,8,7716,1362, 52,1500,52,329, 9,241,2,83, 32,32,32,32, 0,17,5,0,2,0, 1,3,3
626219, 1.1.129.2, 1.1.2.148, 20480,6434, 6,10, 1,0,1500,0, 1500,1500,0,0, 0,0,0,0, 32,32,0,0, 0,1,1,0,0,0, 1,3,0
626219, 1.1.1.92, 1.1.129.46, 21918,20480, 6,26, 83754,84275,16750800,4382300, 200,200,52,52, 1,44133,1,44176, 32,32,32,32, 0,168029,83754,0,0,0, 0,3,3
626219, 1.1.3.30, 1.1.131.41, 2113,20480, 6,10, 4,4,208,4935, 52,52,435,1500, 326,326,9,82, 32,32,32,32, 0,8,3,0,0,0, 1,3,3
626219, 1.1.129.187, 1.1.0.126, 20480,41972, 6,23, 65361,63392,3398772,12678400, 52,52,200,200, 1,45362,1,45131, 32,32,32,32, 0,128753,63392,0,0,0, 0,3,3
626219, 1.1.2.20, 1.1.130.67, 22638,13568, 17,19, 2,0,120,0, 60,60,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.2.169, 1.1.128.238, 49495,20480, 6,25, 41348,42784,8269600,2224768, 200,200,52,52, 1,44000,1,45050, 32,32,32,32, 0,84132,41348,0,0,0, 0,3,3
626219, 1.1.2.53, 1.1.131.25, 25035,20480, 6,11, 4,4,216,6000, 52,56,1500,1500, 458,458,8,71, 32,32,32,32, 0,6,4,0,2,0, 1,3,3
626219, 1.1.3.82, 1.1.131.46, 30612,20480, 6,26, 56041,60002,11208200,3120104, 200,200,52,52, 1,49360,1,49258, 32,32,32,32, 0,116043,56041,0,0,0, 0,3,3
626219, 1.1.2.77, 1.1.130.241, 64143,13568, 17,10, 1,0,59,0, 59,59,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.3.181, 1.1.129.59, 55279,20480, 6,12, 63749,67572,12749504,3513744, 52,200,52,52, 1,52975,1,52258, 32,32,32,32, 0,131321,63747,0,0,0, 1,3,3
626219, 1.1.130.116, 1.1.3.90, 13568,20780, 17,15, 2,0,150,0, 75,75,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.128.237, 1.1.2.104, 20480,3068, 6,21, 0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,0,0,0,0, 0,3,3
626219, 1.1.2.77, 1.1.129.20, 3560,20480, 6,10, 48874,54647,9774504,2841644, 52,200,52,52, 1,49154,1,50668, 32,32,32,32, 0,103521,48872,0,0,0, 1,3,3
626219, 1.1.1.227, 1.1.131.218, 59672,20480, 6,26, 45769,50624,9153800,2632448, 200,200,52,52, 1,49613,1,49281, 32,32,32,32, 0,96393,45769,0,0,0, 0,3,3
626219, 1.1.129.216, 1.1.3.148, 20480,48116, 6,16, 86593,81217,4502844,16243104, 52,56,52,200, 1,44006,1,46399, 32,32,32,32, 0,167810,81215,0,2,0, 1,3,3
626219, 1.1.131.13, 1.1.3.32, 20480,21199, 6,5, 12,2,9320,104, 52,1500,52,52, 1,152,1,1, 32,32,32,32, 0,14,2,0,2,2, 1,6,4
626219, 1.1.3.127, 1.1.130.12, 1051,20480, 6,14, 77543,83587,15508304,4346524, 52,200,52,52, 1,50168,1,49245, 32,32,32,32, 0,161130,77541,0,0,0, 1,3,3
626219, 1.1.129.79, 1.1.3.190, 20480,50828, 6,26, 93278,91206,4850456,18241200, 52,52,200,200, 1,52150,1,52463, 32,32,32,32, 0,184484,91206,0,0,0, 0,3,3
626219, 1.1.2.16, 1.1.131.225, 44052,20480, 6,16, 4,5,766,7386, 52,331,1443,1500, 2,344,8,95, 32,32,32,32, 0,9,5,0,0,0, 1,3,3
626219, 1.1.131.49, 1.1.1.36, 20480,56499, 6,12, 50649,45370,2633748,9074000, 52,52,200,200, 1,45202,1,44256, 32,32,32,32, 0,96019,45370,0,0,0, 1,3,3
626219, 1.1.129.134, 1.1.3.90, 20480,1169, 6,15, 63517,58429,3302892,11685800, 52,56,200,200, 1,47959,1,45103, 32,32,32,32, 0,121946,58429,0,2,0, 1,3,3
626219, 1.1.0.216, 1.1.130.139, 39141,20480, 6,8, 12,3,1020,4500, 52,250,1500,1500, 1,99,9,71, 32,32,32,32, 0,15,2,0,0,2, 1,6,4
626219, 1.1.3.204, 1.1.128.164, 14234,20480, 6,11, 2,9,104,10604, 52,52,52,1500, 1,1,9,131, 32,32,32,32, 0,11,3,0,0,0, 1,3,3
626219, 1.1.2.70, 1.1.128.100, 49127,20480, 6,19, 135609,149851,27121800,7792252, 200,200,52,52, 1,49539,1,50071, 32,32,32,32, 0,285460,135609,0,0,0, 1,3,3
626219, 1.1.3.96, 1.1.129.60, 975,20480, 6,22, 43458,44603,8691600,2319356, 200,200,52,52, 1,44917,1,44185, 32,32,32,32, 0,88061,43458,0,0,0, 0,3,3
626219, 1.1.1.225, 1.1.129.231, 51636,13568, 17,16, 2,0,118,0, 59,59,0,0, 1,1,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.2.158, 1.1.130.178, 48342,20480, 6,17, 6,3,870,4500, 52,331,1500,1500, 2,140,9,64, 32,32,32,32, 0,9,4,0,0,0, 1,3,3
626219, 1.1.0.158, 1.1.129.107, 22325,20480, 6,12, 4,8,216,6974, 52,56,52,1500, 438,438,1,161, 32,32,32,32, 0,10,2,0,2,0, 1,3,3
626219, 1.1.3.57, 1.1.129.238, 49973,20480, 6,25, 42812,45607,8562400,2371564, 200,200,52,52, 1,45143,1,44786, 32,32,32,32, 0,88419,42812,0,0,0, 0,3,3
626219, 1.1.0.167, 1.1.128.211, 4869,13568, 17,15, 2,0,122,0, 61,61,0,0, 3,3,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.131.183, 1.1.2.77, 20480,45830, 6,10, 3,2,4500,104, 1500,1500,52,52, 9,77,3,3, 32,32,32,32, 0,5,0,0,0,0, 1,3,3
626219, 1.1.128.139, 1.1.2.158, 20480,1904, 6,17, 143474,129330,7460648,25866000, 52,52,200,200, 1,49792,1,49544, 32,32,32,32, 0,272804,129330,0,0,0, 1,3,3
626219, 1.1.3.78, 1.1.128.229, 54068,20480, 6,20, 0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,0,0,0,0, 0,3,3
626219, 1.1.1.81, 1.1.130.249, 5198,20480, 6,17, 91673,96459,18334600,5015868, 200,200,52,52, 1,44497,1,43974, 32,32,32,32, 0,188132,91673,0,0,0, 1,3,3
626219, 1.1.1.36, 1.1.130.57, 54950,20480, 6,12, 4,7,216,8364, 52,56,432,1500, 167,167,2,99, 32,32,32,32, 0,9,4,0,2,0, 1,3,3
626219, 1.1.1.225, 1.1.129.172, 61217,20480, 6,16, 76775,85111,15355000,4425772, 200,200,52,52, 1,43833,1,43825, 32,32,32,32, 0,161886,76775,0,0,0, 1,3,3
626219, 1.1.0.158, 1.1.130.171, 20870,20480, 6,12, 64109,67725,12821512,3521708, 56,200,52,56, 1,48870,1,48724, 32,32,32,32, 0,131832,64107,0,4,0, 1,3,3
626219, 1.1.3.30, 1.1.128.83, 10657,13568, 17,10, 2,2,122,154, 61,61,77,77, 0,0,0,0, 32,32,32,32, 0,0,0,0,0,0, 1,8,7
626219, 1.1.131.67, 1.1.1.230, 20480,49323, 6,20, 52638,49193,2737176,9838600, 52,52,200,200, 1,49193,1,49365, 32,32,32,32, 0,101831,49193,0,0,0, 0,3,3
626219, 1.1.2.16, 1.1.128.209, 55205,20480, 6,16, 118686,127002,23736616,6604112, 52,200,52,56, 1,49533,1,49588, 32,32,32,32, 0,245686,118682,0,4,0, 1,3,3
626219, 1.1.129.2, 1.1.2.200, 20480,58156, 6,26, 89622,90305,4660344,18061000, 52,52,200,200, 1,40514,1,40161, 32,32,32,32, 0,179927,90305,0,0,0, 0,3,3
626219, 1.1.2.39, 1.1.130.31, 10958,20480, 6,15, 85002,90210,17000112,4690928, 56,200,52,56, 1,44767,1,44282, 32,32,32,32, 0,175210,85000,0,4,0, 1,3,3
626219, 1.1.130.235, 1.1.3.30, 20480,15098, 6,10, 61994,59422,3223688,11884400, 52,52,200,200, 1,43248,1,43398, 32,32,32,32, 0,121416,59422,0,0,0, 1,3,3
626219, 1.1.129.12, 1.1.1.64, 20480,56726, 6,7, 6,4,6868,208, 434,1500,52,52, 3,106,3,375, 32,32,32,32, 0,10,2,0,0,2, 1,6,4
626219, 1.1.1.193, 1.1.128.103, 29188,13568, 17,17, 2,0,120,0, 60,60,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.131.205, 1.1.3.224, 20480,15484, 6,11, 8,4,5143,208, 52,1500,52,52, 8,186,1,247, 32,32,32,32, 0,12,1,0,0,4, 1,6,4
626219, 1.1.3.39, 1.1.131.169, 65378,20480, 6,23, 48094,52390,9618800,2724280, 200,200,52,52, 1,48621,1,48757, 32,32,32,32, 0,100484,48094,0,0,0, 0,3,3
626219, 1.1.129.194, 1.1.0.167, 20480,19300, 6,15, 66939,62190,3480836,12438000, 52,56,200,200, 1,49576,1,49466, 32,32,32,32, 0,129129,62190,0,2,0, 1,3,3
626219, 1.1.1.193, 1.1.129.214, 23393,20480, 6,17, 5,3,457,4500, 52,249,1500,1500, 1,126,9,53, 32,32,32,32, 0,8,3,0,0,0, 1,3,3
626219, 1.1.131.115, 1.1.2.57, 20480,45855, 6,18, 100259,95398,5213476,19079600, 52,56,200,200, 1,45166,1,44520, 32,32,32,32, 0,195657,95398,0,2,0, 1,3,3
626219, 1.1.131.196, 1.1.3.224, 13568,36968, 17,11, 2,0,154,0, 77,77,0,0, 0,0,0,0, 32,32,0,0, 0,0,0,0,0,0, 1,8,7
626219, 1.1.1.144, 1.1.129.137, 15929,20480, 6,5, 4,5,602,4547, 52,249,52,1500, 2,210,9,93, 32,32,32,32, 0,9,3,0,0,2, 1,6,4
626219, 1.1.128.104, 1.1.2.39, 20480,51068, 6,15, 9,5,10498,1007, 56,1500,52,328, 8,193,2,102, 32,32,32,32, 0,14,8,0,2,0, 1,3,3
626219, 1.1.129.32, 1.1.3.121, 20480,21881, 6,24, 43885,42515,2282020,8503000, 52,52,200,200, 1,45949,1,44139, 32,32,32,32, 0,86400,42515,0,0,0, 0,3,3
626219, 1.1.3.214, 1.1.128.60, 10680,20480, 6,26, 28269,29315,5653800,1524380, 200,200,52,52, 1,44195,1,45988, 32,32,32,32, 0,57584,28269,0,0,0, 0,3,3
626219, 1.1.3.78, 1.1.130.112, 1414,20480, 6,20, 43808,47629,8761600,2476708, 200,200,52,52, 1,43910,1,43740, 32,32,32,32, 0,91437,43808,0,0,0, 0,3,3
626219, 1.1.2.167, 1.1.128.215, 58324,20480, 6,13, 8,3,424,1604, 52,56,52,1500, 1,153,1,205, 32,32,32,32, 0,9,1,0,2,0, 1,3,3
